"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","305120","Noriko  Kando and Kyo  Kageura and Masaharu  Yoshioka and Keizo  Oyama","","","","Phrase Processing Methods for Japanese Text Retrieval","23--28","","6","Japanese text retrieval character-based indexing, character-based indexing, phrase processing, word-based query segmentation","10.1145/305110.305120","SIGIR Forum","Sept. 1998","32","2","","September","1998","0163-5840","","","","","","ACM","New York, NY, USA"
"article","1460040","Abolfazl  AleAhmad and Hadi  Amiri and Masoud  Rahgozar and Farhad  Oroumchian","","","","Experiments with English-Persian Text Retrieval","77--80","","4","Farsi bilingual text retrieval, Persian English cross language","10.1145/1460027.1460040","","","","","","","2008","","Proceedings of the 2Nd ACM Workshop on Improving Non English Web Searching","iNEWS '08","","978-1-60558-416-4","Napa Valley, California, USA","ACM","New York, NY, USA"
"article","2486888","Jinshui  Wang and Xin  Peng and Zhenchang  Xing and Wenyun  Zhao","","","","Improving Feature Location Practice with Multi-faceted Interactive Exploration","762--771","","10","","","","","","","","","2013","","Proceedings of the 2013 International Conference on Software Engineering","ICSE '13","","978-1-4673-3076-3","San Francisco, CA, USA","IEEE Press","Piscataway, NJ, USA"
"article","2820304","Fabian  Beck and Bogdan  Dit and Jaleo  Velasco-Madden and Daniel  Weiskopf and Denys  Poshyvanyk","","","","Rethinking User Interfaces for Feature Location","151--162","","12","","","","","","","","","2015","","Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension","ICPC '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","1076074","Trevor  Strohman and Howard  Turtle and W. Bruce Croft","","","","Optimization Strategies for Complex Queries","219--225","","7","efficiency, indexing, query processing","10.1145/1076034.1076074","","","","","","","2005","","Proceedings of the 28th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '05","","1-59593-034-5","Salvador, Brazil","ACM","New York, NY, USA"
"article","1096643","Jes&#250;s  Vilares and Carlos  G&#243;mez-Rodr&#237;guez and Miguel A. Alonso","","","","Managing Syntactic Variation in Text Retrieval","162--164","","3","information retrieval, natural language processing, shallow parsing","10.1145/1096601.1096643","","","","","","","2005","","Proceedings of the 2005 ACM Symposium on Document Engineering","DocEng '05","","1-59593-240-2","Bristol, United Kingdom","ACM","New York, NY, USA"
"article","1277992","Hans Friedrich Witschel","","","","Global Resources for Peer-to-peer Text Retrieval","923--923","","1","peer-to-peer information retrieval, query routing, term weighting","10.1145/1277741.1277992","","","","","","","2007","","Proceedings of the 30th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '07","","978-1-59593-597-7","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","1389634","Michalis  Sfakakis and Sarantos  Kapidakis","","","","Enhance the Interoperability of the Library Search Systems with zSAPN","40:1--40:7","40","7","Z39.50, interoperability, semantic access point substitution","10.1145/1389586.1389634","","","","","","","2008","","Proceedings of the 1st International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '08","","978-1-60558-067-8","Athens, Greece","ACM","New York, NY, USA"
"article","999434","Wei  Zhao and Lu  Zhang and Yin  Liu and Jiasu  Sun and Fuqing  Yang","","","","SNIAFL: Towards a Static Non-Interactive Approach to Feature Location","293--303","","11","","","","","","","","","2004","","Proceedings of the 26th International Conference on Software Engineering","ICSE '04","","0-7695-2163-0","","IEEE Computer Society","Washington, DC, USA"
"article","2983955","Hongyu  Zhang and Anuj  Jain and Gaurav  Khandelwal and Chandrashekhar  Kaushik and Scott  Ge and Wenxiang  Hu","","","","Bing Developer Assistant: Improving Developer Productivity by Recommending Sample Code","956--961","","6","API, API Usage Extraction, Code Search, GitHub, Software Reuse","10.1145/2950290.2983955","","","","","","","2016","","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2016","","978-1-4503-4218-6","Seattle, WA, USA","ACM","New York, NY, USA"
"article","2493177","Yuexian  Hou and Xiaozhao  Zhao and Dawei  Song and Wenjie  Li","","","","Mining Pure High-order Word Associations via Information Geometry for Information Retrieval","12:1--12:32","12","32","Word association, information geometry, pure high-order dependence, text classification, text retrieval","10.1145/2493175.2493177","ACM Trans. Inf. Syst.","July 2013","31","3","","August","2013","1046-8188","","","","","","ACM","New York, NY, USA"
"article","944016","Allison L. Powell and James C. French","","","","Comparing the Performance of Collection Selection Algorithms","412--456","","45","Collection selection, database selection, distributed information retrieval, distributed text retrieval, metasearch engine, resource discovery, resource ranking, resource selection, server ranking, server selection, text retrieval","10.1145/944012.944016","ACM Trans. Inf. Syst.","October 2003","21","4","","October","2003","1046-8188","","","","","","ACM","New York, NY, USA"
"article","1811139","Anand  Kumar and Yi-Cheng  Tu","","","","Exploiting Locality for Query Processing and Compression in Scientific Databases","13--18","","6","data compression, query processing","10.1145/1811136.1811139","","","","","","","2010","","Proceedings of the Fourth SIGMOD PhD Workshop on Innovative Database Research","IDAR '10","","978-1-4503-0191-6","Indianapolis, Indiana","ACM","New York, NY, USA"
"article","1641452","Matthew W. Bilotti and Eric  Nyberg","","","","Improving Text Retrieval Precision and Answer Accuracy in Question Answering Systems","1--8","","8","","","","","","","","","2008","","Coling 2008: Proceedings of the 2Nd Workshop on Information Retrieval for Question Answering","IRQA '08","","978-1-905593-55-2","Manchester, UK","Association for Computational Linguistics","Stroudsburg, PA, USA"
"article","2837273","Bartholom&#228;us  Wloka","","","","Towards Automated Creation of High Quality Domain-specific Machine Translation Resources","38:1--38:4","38","4","alignment, computational linguistics, corpus acquisition, cross-language text retrieval, natural language processing, parallel corpora, text mining","10.1145/2837185.2837273","","","","","","","2015","","Proceedings of the 17th International Conference on Information Integration and Web-based Applications & Services","iiWAS '15","","978-1-4503-3491-4","Brussels, Belgium","ACM","New York, NY, USA"
"article","2950341","Xuan  Li and Zerui  Wang and Qianxiang  Wang and Shoumeng  Yan and Tao  Xie and Hong  Mei","","","","Relationship-aware Code Search for JavaScript Frameworks","690--701","","12","Code search, JavaScript code mining, natural language processing","10.1145/2950290.2950341","","","","","","","2016","","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2016","","978-1-4503-4218-6","Seattle, WA, USA","ACM","New York, NY, USA"
"article","1871730","Amal C. Kaluarachchi and Aparna S. Varde and Srikanta  Bedathur and Gerhard  Weikum and Jing  Peng and Anna  Feldman","","","","Incorporating Terminology Evolution for Query Translation in Text Retrieval with Association Rules","1789--1792","","4","association rules, contextual similarity, natural language processing, ranking, search, web ir","10.1145/1871437.1871730","","","","","","","2010","","Proceedings of the 19th ACM International Conference on Information and Knowledge Management","CIKM '10","","978-1-4503-0099-5","Toronto, ON, Canada","ACM","New York, NY, USA"
"article","1076149","Julio  Gonzalo and Carol  Peters","","","","The Impact of Evaluation on Multilingual Text Retrieval","603--604","","2","multilingual information access, system evaluation","10.1145/1076034.1076149","","","","","","","2005","","Proceedings of the 28th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '05","","1-59593-034-5","Salvador, Brazil","ACM","New York, NY, USA"
"article","2544166","Haicheng  Wu and Gregory  Diamos and Tim  Sheard and Molham  Aref and Sean  Baxter and Michael  Garland and Sudhakar  Yalamanchili","","","","Red Fox: An Execution Environment for Relational Query Processing on GPUs","44:44--44:54","44","11","GPU, Relational Query Processing","10.1145/2581122.2544166","","","","","","","2014","","Proceedings of Annual IEEE/ACM International Symposium on Code Generation and Optimization","CGO '14","","978-1-4503-2670-4","Orlando, FL, USA","ACM","New York, NY, USA"
"article","297123","David  Hawking and Paul  Thistlewaite","","","","Methods for Information Server Selection","40--76","","37","Lightweight Probe queries, information servers, network servers, server ranking, server selection, text retrieval","10.1145/297117.297123","ACM Trans. Inf. Syst.","Jan. 1999","17","1","","January","1999","1046-8188","","","","","","ACM","New York, NY, USA"
"article","1572142","Jonathan  Mamou and Yosi  Mass and Michal  Shmueli-Scheuer and Benjamin  Sznajder","","","","A Unified Inverted Index for an Efficient Image and Text Retrieval","814--815","","2","IR, approximation, inverted index, metric spaces, multimedia","10.1145/1571941.1572142","","","","","","","2009","","Proceedings of the 32Nd International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '09","","978-1-60558-483-6","Boston, MA, USA","ACM","New York, NY, USA"
"article","1809177","Sushil  Bajracharya and Joel  Ossher and Cristina  Lopes","","","","Searching API Usage Examples in Code Repositories with Sourcerer API Search","5--8","","4","API search, exploratory code search, search driven development, search user interface, software information retrieval","10.1145/1809175.1809177","","","","","","","2010","","Proceedings of 2010 ICSE Workshop on Search-driven Development: Users, Infrastructure, Tools and Evaluation","SUITE '10","","978-1-60558-962-6","Cape Town, South Africa","ACM","New York, NY, USA"
"article","1460034","Juan  Otero and Jes&#250;s  Vilares and Manuel Vilares Ferro","","","","Corrupted Queries in Spanish Text Retrieval: Error Correction vs. N-Grams","39--46","","8","character <i>n</i>-grams, degraded queries, information retrieval, spelling correction","10.1145/1460027.1460034","","","","","","","2008","","Proceedings of the 2Nd ACM Workshop on Improving Non English Web Searching","iNEWS '08","","978-1-60558-416-4","Napa Valley, California, USA","ACM","New York, NY, USA"
"article","1132959","Justin  Zobel and Alistair  Moffat","","","","Inverted Files for Text Search Engines","","6","","Inverted file indexing, Web search engine, document database, information retrieval, text retrieval","10.1145/1132956.1132959","ACM Comput. Surv.","2006","38","2","","July","2006","0360-0300","","","","","","ACM","New York, NY, USA"
"article","2260685","Simon  Jonassen and Svein Erik Bratsberg","","","","Intra-query Concurrent Pipelined Processing for Distributed Full-text Retrieval","413--425","","13","","10.1007/978-3-642-28997-2_35","","","","","","","2012","","Proceedings of the 34th European Conference on Advances in Information Retrieval","ECIR'12","","978-3-642-28996-5","Barcelona, Spain","Springer-Verlag","Berlin, Heidelberg"
"article","979925","Nicholas  Lester and Justin  Zobel and Hugh E. Williams","","","","In-place Versus Re-build Versus Re-merge: Index Maintenance Strategies for Text Retrieval Systems","15--23","","9","","","","","","","","","2004","","Proceedings of the 27th Australasian Conference on Computer Science - Volume 26","ACSC '04","","","Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","379670","Anselmo  Pe&#241;as and Julio  Gonzalo and Felisa  Verdejo","","","","Browsing by Phrases: Terminological Information in Interactive Multilingual Text Retrieval","253--254","","2","interaction, multilingual information access, natural language processing, terminology extraction","10.1145/379437.379670","","","","","","","2001","","Proceedings of the 1st ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '01","","1-58113-345-6","Roanoke, Virginia, USA","ACM","New York, NY, USA"
"article","2010106","Andreas  Broschart and Ralf  Schenkel","","","","A Novel Hybrid Index Structure for Efficient Text Retrieval","1175--1176","","2","efficiency, proximity scoring","10.1145/2009916.2010106","","","","","","","2011","","Proceedings of the 34th International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '11","","978-1-4503-0757-4","Beijing, China","ACM","New York, NY, USA"
"article","1454190","Toan  Luu and Gleb  Skobeltsyn and Fabius  Klemm and Maroje  Puh and Ivana Podnar &#381;arko and Martin  Rajman and Karl  Aberer","","","","AlvisP2P: Scalable Peer-to-peer Text Retrieval in a Structured P2P Network","1424--1427","","4","","10.14778/1454159.1454190","Proc. VLDB Endow.","August 2008","1","2","","August","2008","2150-8097","","","","","","VLDB Endowment",""
"article","1071901","Alexandra  Klein and Estela  Puig-Waldm&#252;ller and Harald  Trost","","","","Robust Interpretation of User Requests for Text Retrieval in a Multimodal Environment","1--5","","5","","10.3115/1071884.1071901","","","","","","","2002","","Proceedings of the 19th International Conference on Computational Linguistics - Volume 2","COLING '02","","","Taipei, Taiwan","Association for Computational Linguistics","Stroudsburg, PA, USA"
"article","1291448","Apostol (Paul) Natsev and Alexander  Haubold and Jelena  Te&#353;i&#263; and Lexing  Xie and Rong  Yan","","","","Semantic Concept-based Query Expansion and Re-ranking for Multimedia Retrieval","991--1000","","10","","10.1145/1291233.1291448","","","","","","","2007","","Proceedings of the 15th ACM International Conference on Multimedia","MM '07","","978-1-59593-702-5","Augsburg, Germany","ACM","New York, NY, USA"
"article","860499","Yan  Qu and Gregory  Grefenstette and David A. Evans","","","","Automatic Transliteration for Japanese-to-English Text Retrieval","353--360","","8","automatic transliteration, cross language information retrieval","10.1145/860435.860499","","","","","","","2003","","Proceedings of the 26th Annual International ACM SIGIR Conference on Research and Development in Informaion Retrieval","SIGIR '03","","1-58113-646-3","Toronto, Canada","ACM","New York, NY, USA"
"article","3196888","Cong  Yan and Yeye  He","","","","Synthesizing Type-Detection Logic for Rich Semantic Data Types Using Open-source Code","35--50","","16","code search, data preparation, metadata management, open-source code, semantic data types, type detection","10.1145/3183713.3196888","","","","","","","2018","","Proceedings of the 2018 International Conference on Management of Data","SIGMOD '18","","978-1-4503-4703-7","Houston, TX, USA","ACM","New York, NY, USA"
"article","1386122","Fei  Xu and Christopher  Jermaine and Alin  Dobra","","","","Confidence Bounds for Sampling-based Group by Estimates","16:1--16:44","16","44","Approximate query processing, multiple hypothesis testing, sampling","10.1145/1386118.1386122","ACM Trans. Database Syst.","August 2008","33","3","","September","2008","0362-5915","","","","","","ACM","New York, NY, USA"
"article","1739046","Huiping  Cao and Yan  Qi and K. Sel&#231;uk Candan and Maria Luisa Sapino","","","","Feedback-driven Result Ranking and Query Refinement for Exploring Semi-structured Data Collections","3--14","","12","data-centric XML, feature cover, inter-dependent structural feature, relevance feedback","10.1145/1739041.1739046","","","","","","","2010","","Proceedings of the 13th International Conference on Extending Database Technology","EDBT '10","","978-1-60558-945-9","Lausanne, Switzerland","ACM","New York, NY, USA"
"article","312739","Charles  Clarke and Anthony  Cox and Susan  Sim","","","","Searching Program Source Code with a Structured Text Retrieval System (Poster Abstract)","307--308","","2","","10.1145/312624.312739","","","","","","","1999","","Proceedings of the 22Nd Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '99","","1-58113-096-1","Berkeley, California, USA","ACM","New York, NY, USA"
"article","2655851","Nada  Naji and Jacques  Savoy","","","","Back to Our Roots for Retrieving Very Short Passages","71:1--71:9","71","9","Latin, OCR, digital libraries, information retrieval of short passages, medieval documents, middle high german, noisy text, retrieval of very short documents, vector space model","","","","","","","","2013","","Proceedings of the 76th ASIS&T Annual Meeting: Beyond the Cloud: Rethinking Information Boundaries","ASIST '13","","0-87715-545-3","Montreal, Quebec, Canada","American Society for Information Science","Silver Springs, MD, USA"
"article","1242528","Florin  Rusu and Alin  Dobra","","","","Pseudo-random Number Generation for Sketch-based Estimations","","11","","Sketches, approximate query processing, data synopses, fast range-summation","10.1145/1242524.1242528","ACM Trans. Database Syst.","June 2007","32","2","","June","2007","0362-5915","","","","","","ACM","New York, NY, USA"
"article","333138","Jinxi  Xu and W. Bruce Croft","","","","Improving the Effectiveness of Information Retrieval with Local Context Analysis","79--112","","34","cooccurrence, document analysis, feedback, global techniques, information retrieval, local context analysis, local techniques","10.1145/333135.333138","ACM Trans. Inf. Syst.","Jan. 2000","18","1","","January","2000","1046-8188","","","","","","ACM","New York, NY, USA"
"article","3269233","Petr  Sojka and Michal  R&#367;&#382;i&#269;ka and V&#237;t  Novotn&#253;","","","","MIaS: Math-Aware Retrieval in Digital Mathematical Libraries","1923--1926","","4","digital mathematical libraries, math information retrieval","10.1145/3269206.3269233","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
"article","2983355","Tao  Li and Wubai  Zhou and Chunqiu  Zeng and Qing  Wang and Qifeng  Zhou and Dingding  Wang and Jia  Xu and Yue  Huang and Wentao  Wang and Minjing  Zhang and Steve  Luis and Shu-Ching  Chen and Naphtali  Rishe","","","","DI-DAP: An Efficient Disaster Information Delivery and Analysis Platform in Disaster Management","1593--1602","","10","disaster management, sequential query pattern, storyline generation, vertical search engine","10.1145/2983323.2983355","","","","","","","2016","","Proceedings of the 25th ACM International on Conference on Information and Knowledge Management","CIKM '16","","978-1-4503-4073-1","Indianapolis, Indiana, USA","ACM","New York, NY, USA"
"article","952685","Khanh  Vu and Kien A. Hua and Ning  Jiang","","","","Improving Image Retrieval Effectiveness in Query-by-example Environment","774--781","","8","image query processing, image retrieval system, indexing, reducing noise","10.1145/952532.952685","","","","","","","2003","","Proceedings of the 2003 ACM Symposium on Applied Computing","SAC '03","","1-58113-624-2","Melbourne, Florida","ACM","New York, NY, USA"
"article","2767708","Jeong-Min  Yun and Yuxiong  He and Sameh  Elnikety and Shaolei  Ren","","","","Optimal Aggregation Policy for Reducing Tail Latency of Web Search","63--72","","10","aggregation, scheduling, tail latency, web search","10.1145/2766462.2767708","","","","","","","2015","","Proceedings of the 38th International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '15","","978-1-4503-3621-5","Santiago, Chile","ACM","New York, NY, USA"
"article","1559885","Feifei  Li and Ke  Yi and Jeffrey  Jestes","","","","Ranking Distributed Probabilistic Data","361--374","","14","distributed query processing, probabilistic data, ranking queries, top-k, uncertain databases","10.1145/1559845.1559885","","","","","","","2009","","Proceedings of the 2009 ACM SIGMOD International Conference on Management of Data","SIGMOD '09","","978-1-60558-551-2","Providence, Rhode Island, USA","ACM","New York, NY, USA"
"article","372337","Khanh  Vu and Kien A. Hua and Duc A. Tran","","","","An Efficient Core-area Detection Algorithm for Fast Noise-free Image Query Processing","258--263","","6","content-based image retrieval, core-area detection algorithm, indexing/retrieval, noise-free queries","10.1145/372202.372337","","","","","","","2001","","Proceedings of the 2001 ACM Symposium on Applied Computing","SAC '01","","1-58113-287-5","Las Vegas, Nevada, USA","ACM","New York, NY, USA"
"article","1247560","Christopher  Jermaine and Subramanian  Arumugam and Abhijit  Pol and Alin  Dobra","","","","Scalable Approximate Query Processing with the DBO Engine","725--736","","12","DBO, online aggregation, randomized algorithms, sampling","10.1145/1247480.1247560","","","","","","","2007","","Proceedings of the 2007 ACM SIGMOD International Conference on Management of Data","SIGMOD '07","","978-1-59593-686-8","Beijing, China","ACM","New York, NY, USA"
"article","2362483","Taraneh  Khazaei and Orland  Hoeber","","","","Metadata Visualization of Scholarly Search Results: Supporting Exploration and Discovery","21:1--21:8","21","8","digital library, information retrieval, information visualization","10.1145/2362456.2362483","","","","","","","2012","","Proceedings of the 12th International Conference on Knowledge Management and Knowledge Technologies","i-KNOW '12","","978-1-4503-1242-4","Graz, Austria","ACM","New York, NY, USA"
"article","1325925","Fei  Xu and Christopher  Jermaine","","","","Randomized Algorithms for Data Reconciliation in Wide Area Aggregate Query Processing","639--650","","12","","","","","","","","","2007","","Proceedings of the 33rd International Conference on Very Large Data Bases","VLDB '07","","978-1-59593-649-3","Vienna, Austria","VLDB Endowment",""
"article","2914703","Craig  Willis and Garrick  Sherman and Miles  Efron","","","","What Makes a Query Temporally Sensitive?","1065--1068","","4","query classification, temporal information retrieval, temporal relevance","10.1145/2911451.2914703","","","","","","","2016","","Proceedings of the 39th International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '16","","978-1-4503-4069-4","Pisa, Italy","ACM","New York, NY, USA"
"article","1148306","Birger  Larsen and Anastasios  Tombros and Saadia  Malik","","","","Is XML Retrieval Meaningful to Users?: Searcher Preferences for Full Documents vs. Elements","663--664","","2","INEX, XML retrieval, element retrieval, interactive studies","10.1145/1148170.1148306","","","","","","","2006","","Proceedings of the 29th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '06","","1-59593-369-7","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","1247720","Rosie  Jones and Fernando  Diaz","","","","Temporal Profiles of Queries","","14","","Time, ambiguity, event detection, language models, precision prediction, query classification, temporal profiles","10.1145/1247715.1247720","ACM Trans. Inf. Syst.","July 2007","25","3","","July","2007","1046-8188","","","","","","ACM","New York, NY, USA"
"article","2820307","Howell  Jordan and Jacek  Rosik and Sebastian  Herold and Goetz  Botterweck and Jim  Buckley","","","","Manually Locating Features in Industrial Source Code: The Search Actions of Software Nomads","174--177","","4","","","","","","","","","2015","","Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension","ICPC '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","1390563","Uma  Murthy and Ricardo da Silva Torres and Edward A. Fox and Logambigai  Venkatachalam and Seungwon  Yang and Marcos A. Gon&#231;alves","","","","From Concepts to Implementation and Visualization: Tools from a Team-based Approach to Ir","889--889","","1","education, information retrieval","10.1145/1390334.1390563","","","","","","","2008","","Proceedings of the 31st Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '08","","978-1-60558-164-4","Singapore, Singapore","ACM","New York, NY, USA"
"article","2740777","Tim  Gollub and Michael  V&#246;lske and Matthias  Hagen and Benno  Stein","","","","Dynamic Taxonomy Composition via Keyqueries","39--48","","10","big data problem, classification systems, dynamic taxonomy composition, keyquery, reverted index","","","","","","","","2014","","Proceedings of the 14th ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '14","","978-1-4799-5569-5","London, United Kingdom","IEEE Press","Piscataway, NJ, USA"
"article","976464","Jisong  Chen and Rowena  Chau and Chung-Hsing  Yeh","","","","Discovering Parallel Text from the World Wide Web","157--161","","5","","","","","","","","","2004","","Proceedings of the Second Workshop on Australasian Information Security, Data Mining and Web Intelligence, and Software Internationalisation - Volume 32","ACSW Frontiers '04","","","Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","1555419","Masaya  Murata and Hiroyuki  Toda and Yumiko  Matsuura and Ryoji  Kataoka","","","","Query-page Intention Matching Using Clicked Titles and Snippets to Boost Search Rankings","105--114","","10","click logs analysis, implicit relevance feedback, representation of intention, search result rankings","10.1145/1555400.1555419","","","","","","","2009","","Proceedings of the 9th ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '09","","978-1-60558-322-8","Austin, TX, USA","ACM","New York, NY, USA"
"article","1277823","Marc A. Najork and Hugo  Zaragoza and Michael J. Taylor","","","","Hits on the Web: How Does It Compare?","471--478","","8","BM25F, HITS, MRR, NDCG, PageRank, ranking","10.1145/1277741.1277823","","","","","","","2007","","Proceedings of the 30th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '07","","978-1-59593-597-7","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","956957","Tahia  Infantes-Morris and Philip J. Bernhard and Kevin L. Fox and Gary J. Faulkner and Kristina  Stripling","","","","Industrial Evaluation of a Highly-accurate Academic IR System","500--503","","4","independent industrial evaluation, information retrieval","10.1145/956863.956957","","","","","","","2003","","Proceedings of the Twelfth International Conference on Information and Knowledge Management","CIKM '03","","1-58113-723-0","New Orleans, LA, USA","ACM","New York, NY, USA"
"article","502679","Ellen M. Voorhees","","","","Question Answering in TREC","535--537","","3","","10.1145/502585.502679","","","","","","","2001","","Proceedings of the Tenth International Conference on Information and Knowledge Management","CIKM '01","","1-58113-436-3","Atlanta, Georgia, USA","ACM","New York, NY, USA"
